CNO,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,
C5485,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5486,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5487,fruit/vegetable juice,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5488,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5489,tropical fruit,berries,whole milk,butter,butter milk,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,
C5490,pip fruit,pastry,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5491,sausage,chicken,other vegetables,whole milk,whipped/sour cream,domestic eggs,rolls/buns,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,
C5492,root vegetables,whole milk,hard cheese,sauces,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,
C5493,zwieback,cat food,dish cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5494,chicken,beef,tropical fruit,other vegetables,soft cheese,pickled vegetables,bottled water,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,
C5495,tropical fruit,yogurt,UHT-milk,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5496,tropical fruit,butter milk,beverages,bottled water,fruit/vegetable juice,salty snack,chewing gum,napkins,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,
C5497,root vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5498,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5499,beef,pip fruit,root vegetables,whole milk,soft cheese,bottled beer,detergent,,,,,,,,,,,,,,,,,,,,,,,,,
C5500,hamburger meat,root vegetables,whole milk,yogurt,brown bread,pastry,bottled beer,specialty chocolate,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,
C5501,other vegetables,ice cream,brown bread,soda,house keeping products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
C5502,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5503,pip fruit,root vegetables,frozen vegetables,rolls/buns,semi-finished bread,soda,white wine,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
C5504,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5505,turkey,tropical fruit,root vegetables,other vegetables,butter,whipped/sour cream,hard cheese,ketchup,fruit/vegetable juice,candy,napkins,,,,,,,,,,,,,,,,,,,,,
C5506,rolls/buns,margarine,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5507,sausage,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5508,beef,margarine,bottled beer,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5509,whole milk,yogurt,brown bread,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5510,whole milk,rolls/buns,baking powder,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5511,pip fruit,whole milk,frozen vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5512,meat,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5513,hamburger meat,whole milk,tidbits,frozen fish,ice cream,sauces,salty snack,kitchen towels,,,,,,,,,,,,,,,,,,,,,,,,
C5514,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5515,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5516,root vegetables,white bread,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5517,other vegetables,white bread,pickled vegetables,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5518,citrus fruit,pip fruit,other vegetables,whole milk,frozen vegetables,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,
C5519,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5520,frankfurter,whole milk,yogurt,frozen vegetables,coffee,bottled water,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,
C5521,ham,beef,tropical fruit,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5522,soda,bottled beer,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5523,bottled beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5524,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5525,turkey,pork,beef,herbs,other vegetables,soft cheese,frozen vegetables,rolls/buns,rice,,,,,,,,,,,,,,,,,,,,,,,
C5526,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5527,citrus fruit,tropical fruit,pip fruit,other vegetables,curd,butter milk,UHT-milk,frozen meals,brown bread,semi-finished bread,spices,fruit/vegetable juice,hygiene articles,,,,,,,,,,,,,,,,,,,
C5528,grapes,other vegetables,whole milk,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5529,other vegetables,whole milk,butter,domestic eggs,waffles,candy,seasonal products,detergent,,,,,,,,,,,,,,,,,,,,,,,,
C5530,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,flour,long life bakery product,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
C5531,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5532,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5533,citrus fruit,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5534,yogurt,beverages,domestic eggs,rolls/buns,pastry,soda,long life bakery product,chocolate,chocolate marshmallow,napkins,,,,,,,,,,,,,,,,,,,,,,
C5535,chicken,beef,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5536,tropical fruit,whipped/sour cream,bottled water,soda,bottled beer,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,
C5537,tropical fruit,whole milk,sauces,sweet spreads,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
C5538,other vegetables,hard cheese,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5539,margarine,misc. beverages,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5540,pork,whole milk,butter,domestic eggs,margarine,ready soups,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
C5541,frankfurter,hamburger meat,UHT-milk,mayonnaise,rolls/buns,pastry,mustard,ketchup,Instant food products,soda,dish cleaner,dental care,shopping bags,,,,,,,,,,,,,,,,,,,
C5542,ham,chicken,root vegetables,onions,other vegetables,yogurt,whipped/sour cream,sliced cheese,frozen vegetables,frozen meals,ice cream,newspapers,,,,,,,,,,,,,,,,,,,,
C5543,cream cheese,coffee,chocolate,candy,make up remover,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C5544,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5545,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5546,frozen potato products,rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5547,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5548,citrus fruit,root vegetables,other vegetables,coffee,liquor,chocolate,candy,seasonal products,flower (seeds),shopping bags,,,,,,,,,,,,,,,,,,,,,,
C5549,frankfurter,chicken,pork,tropical fruit,pip fruit,yogurt,whipped/sour cream,frozen vegetables,semi-finished bread,zwieback,flour,vinegar,margarine,pickled vegetables,bottled water,soda,waffles,chocolate,chocolate marshmallow,detergent,napkins,,,,,,,,,,,
C5550,other vegetables,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5551,chicken,tropical fruit,root vegetables,other vegetables,whole milk,dessert,yogurt,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,
C5552,pip fruit,other vegetables,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5553,frankfurter,citrus fruit,other vegetables,butter milk,yogurt,whipped/sour cream,rolls/buns,brown bread,pickled vegetables,canned fish,tea,,,,,,,,,,,,,,,,,,,,,
C5554,frozen meals,ice cream,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5555,root vegetables,onions,whole milk,curd,yogurt,whipped/sour cream,soft cheese,cream cheese,curd cheese,frozen fish,rolls/buns,waffles,,,,,,,,,,,,,,,,,,,,
C5556,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5557,sausage,fish,curd,processed cheese,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5558,whole milk,frozen fish,rolls/buns,pickled vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5559,beef,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese,cat food,napkins,,,,,,,,,,,,,,,,,,,,,,,
C5560,pork,domestic eggs,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5561,artif. sweetener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5562,frankfurter,ham,tropical fruit,yogurt,curd cheese,frozen fish,zwieback,margarine,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,
C5563,rolls/buns,canned fish,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5564,canned beer,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5565,mayonnaise,rolls/buns,soda,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5566,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5567,sausage,sliced cheese,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5568,hard cheese,candles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5569,frankfurter,whole milk,white bread,margarine,bottled beer,detergent,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,
C5570,frankfurter,meat,whole milk,whipped/sour cream,UHT-milk,hard cheese,coffee,waffles,napkins,,,,,,,,,,,,,,,,,,,,,,,
C5571,bottled water,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5572,sausage,pip fruit,whole milk,white bread,salt,pasta,oil,sugar,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,
C5573,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5574,citrus fruit,domestic eggs,jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5575,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5576,condensed milk,margarine,fruit/vegetable juice,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5577,sausage,finished products,pork,tropical fruit,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese,white bread,baking powder,long life bakery product,house keeping products,potted plants,,,,,,,,,,,,,,,,,,
C5578,brown bread,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5579,whole milk,butter,coffee,bottled water,seasonal products,candles,,,,,,,,,,,,,,,,,,,,,,,,,,
C5580,frankfurter,sausage,rolls/buns,brown bread,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C5581,domestic eggs,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5582,sausage,root vegetables,beverages,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5583,other vegetables,whole milk,yogurt,rolls/buns,female sanitary products,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,,
C5584,pork,semi-finished bread,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5585,other vegetables,whole milk,curd,whipped/sour cream,frozen vegetables,roll products,semi-finished bread,salty snack,seasonal products,,,,,,,,,,,,,,,,,,,,,,,
C5586,frankfurter,citrus fruit,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5587,beef,root vegetables,frozen vegetables,brown bread,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5588,pork,salad dressing,oil,sauces,coffee,soda,canned beer,liquor (appetizer),candy,newspapers,,,,,,,,,,,,,,,,,,,,,,
C5589,white bread,misc. beverages,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5590,dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5591,pip fruit,root vegetables,UHT-milk,condensed milk,frozen fish,candy,,,,,,,,,,,,,,,,,,,,,,,,,,
C5592,sausage,tropical fruit,whole milk,whipped/sour cream,specialty cheese,soda,skin care,,,,,,,,,,,,,,,,,,,,,,,,,
C5593,frankfurter,rolls/buns,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5594,chicken,grapes,root vegetables,whole milk,domestic eggs,detergent,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
C5595,chicken,pip fruit,other vegetables,butter,soft cheese,frozen vegetables,long life bakery product,candles,,,,,,,,,,,,,,,,,,,,,,,,
C5596,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5597,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5598,pork,whole milk,bottled water,soda,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5599,bathroom cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5600,beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5601,butter,brown bread,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5602,sausage,tropical fruit,pip fruit,whole milk,soft cheese,processed cheese,white bread,pastry,semi-finished bread,oil,mustard,ketchup,soda,misc. beverages,long life bakery product,waffles,chocolate,specialty chocolate,detergent,napkins,house keeping products,,,,,,,,,,,
C5603,canned beer,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5604,salt,cling film/bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5605,beef,root vegetables,whole milk,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5606,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5607,curd,semi-finished bread,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5608,fruit/vegetable juice,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5609,sausage,whipped/sour cream,bottled water,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5610,sausage,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5611,sausage,pip fruit,root vegetables,onions,whole milk,butter,dessert,soft cheese,cream cheese,specialty cheese,domestic eggs,salt,pasta,vinegar,oil,mustard,ketchup,canned vegetables,pickled vegetables,canned fish,instant coffee,tea,misc. beverages,bottled beer,white wine,chocolate,abrasive cleaner,hygiene articles,,,,
C5612,grapes,whole milk,butter,rolls/buns,coffee,bottled water,soda,misc. beverages,potted plants,,,,,,,,,,,,,,,,,,,,,,,
C5613,frankfurter,whole milk,cream cheese,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5614,berries,other vegetables,yogurt,whipped/sour cream,bottled water,waffles,seasonal products,,,,,,,,,,,,,,,,,,,,,,,,,
C5615,citrus fruit,root vegetables,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5616,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5617,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5618,tropical fruit,curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5619,whole milk,brown bread,dog food,chocolate,hygiene articles,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,
C5620,whole milk,rolls/buns,soda,canned beer,liquor,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
C5621,other vegetables,bottled beer,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5622,citrus fruit,root vegetables,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5623,pork,beef,root vegetables,other vegetables,whole milk,UHT-milk,frozen vegetables,rice,baking powder,dog food,soda,,,,,,,,,,,,,,,,,,,,,
C5624,beef,other vegetables,whipped/sour cream,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5625,meat,pip fruit,other vegetables,brown bread,roll products,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
C5626,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5627,whole milk,butter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5628,curd cheese,bottled water,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5629,citrus fruit,tropical fruit,onions,UHT-milk,specialty fat,instant coffee,bottled water,soda,fruit/vegetable juice,bottled beer,salty snack,newspapers,,,,,,,,,,,,,,,,,,,,
C5630,cooking chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5631,whole milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5632,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5633,chicken,frozen vegetables,frozen meals,frozen dessert,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5634,citrus fruit,tropical fruit,other vegetables,whole milk,curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
C5635,sausage,chicken,herbs,other vegetables,whole milk,whipped/sour cream,sliced cheese,domestic eggs,rolls/buns,brown bread,margarine,soda,waffles,chocolate marshmallow,,,,,,,,,,,,,,,,,,
C5636,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5637,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5638,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5639,pork,root vegetables,whole milk,domestic eggs,pasta,ketchup,hygiene articles,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
C5640,root vegetables,onions,whole milk,whipped/sour cream,pickled vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5641,citrus fruit,root vegetables,other vegetables,whole milk,margarine,specialty fat,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,,
C5642,citrus fruit,tropical fruit,whole milk,yogurt,whipped/sour cream,preservation products,,,,,,,,,,,,,,,,,,,,,,,,,,
C5643,whole milk,butter milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5644,pork,beef,other vegetables,whipped/sour cream,waffles,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,,,
C5645,citrus fruit,other vegetables,bottled water,fruit/vegetable juice,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5646,frankfurter,pip fruit,root vegetables,other vegetables,curd,butter milk,spread cheese,soups,house keeping products,,,,,,,,,,,,,,,,,,,,,,,
C5647,citrus fruit,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5648,sausage,meat,pork,beef,root vegetables,other vegetables,UHT-milk,flour,detergent,shopping bags,,,,,,,,,,,,,,,,,,,,,,
C5649,chicken,curd,butter milk,UHT-milk,rolls/buns,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
C5650,other vegetables,whole milk,yogurt,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5651,onions,other vegetables,rolls/buns,coffee,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5652,hamburger meat,dessert,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5653,frankfurter,curd,rolls/buns,brown bread,mustard,candy,,,,,,,,,,,,,,,,,,,,,,,,,,
C5654,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5655,bottled water,canned beer,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5656,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5657,turkey,other vegetables,butter,rolls/buns,pastry,oil,,,,,,,,,,,,,,,,,,,,,,,,,,
C5658,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5659,frozen vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5660,other vegetables,curd,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5661,pork,hamburger meat,tropical fruit,pip fruit,other vegetables,whipped/sour cream,beverages,white bread,,,,,,,,,,,,,,,,,,,,,,,,
C5662,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5663,turkey,root vegetables,other vegetables,whole milk,butter milk,UHT-milk,brown bread,bottled water,,,,,,,,,,,,,,,,,,,,,,,,
C5664,sausage,rolls/buns,pastry,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5665,whole milk,whipped/sour cream,domestic eggs,white bread,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5666,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5667,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5668,hamburger meat,root vegetables,other vegetables,whole milk,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5669,turkey,pip fruit,other vegetables,whole milk,frozen vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5670,sausage,tropical fruit,other vegetables,beverages,processed cheese,rolls/buns,soda,chewing gum,,,,,,,,,,,,,,,,,,,,,,,,
C5671,whole milk,butter milk,salt,sugar,soda,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,
C5672,sausage,pork,hamburger meat,citrus fruit,other vegetables,whole milk,soft cheese,domestic eggs,rolls/buns,sugar,cat food,chocolate,,,,,,,,,,,,,,,,,,,,
C5673,other vegetables,whole milk,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5674,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5675,pork,whole milk,curd cheese,frozen vegetables,cat food,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5676,pork,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5677,beef,hamburger meat,other vegetables,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5678,sausage,chicken,tropical fruit,berries,root vegetables,onions,whole milk,butter,yogurt,hard cheese,domestic eggs,vinegar,spices,long life bakery product,dish cleaner,newspapers,,,,,,,,,,,,,,,,
C5679,whole milk,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5680,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5681,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5682,beef,berries,root vegetables,onions,flour,mustard,soda,bottled beer,salty snack,popcorn,,,,,,,,,,,,,,,,,,,,,,
C5683,frankfurter,finished products,chicken,other vegetables,whole milk,curd,flour,pasta,salty snack,,,,,,,,,,,,,,,,,,,,,,,
C5684,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5685,other vegetables,whole milk,curd,yogurt,cream cheese,pastry,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,
C5686,root vegetables,whole milk,domestic eggs,female sanitary products,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5687,pip fruit,soda,bottled beer,canned beer,waffles,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,
C5688,sausage,pork,tropical fruit,root vegetables,herbs,whole milk,curd,yogurt,whipped/sour cream,chewing gum,male cosmetics,newspapers,,,,,,,,,,,,,,,,,,,,
C5689,other vegetables,butter,soda,bottled beer,liquor,rum,chocolate marshmallow,hygiene articles,newspapers,,,,,,,,,,,,,,,,,,,,,,,
C5690,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5691,meat,whole milk,sliced cheese,brown bread,pastry,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
C5692,pork,other vegetables,whole milk,butter,whipped/sour cream,hard cheese,cat food,pet care,coffee,liquor,napkins,dishes,kitchen towels,,,,,,,,,,,,,,,,,,,
C5693,dessert,rolls/buns,napkins,newspapers,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5694,other vegetables,cream cheese,margarine,canned vegetables,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5695,condensed milk,rolls/buns,brown bread,coffee,bottled water,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
C5696,ice cream,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5697,chicken,whole milk,frozen meals,domestic eggs,brown bread,ketchup,dog food,misc. beverages,napkins,,,,,,,,,,,,,,,,,,,,,,,
C5698,root vegetables,whole milk,condensed milk,frozen vegetables,rolls/buns,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,
C5699,frankfurter,chicken,beef,citrus fruit,tropical fruit,root vegetables,other vegetables,curd,dessert,whipped/sour cream,soft cheese,cream cheese,frozen vegetables,frozen meals,frozen potato products,domestic eggs,white bread,semi-finished bread,oil,instant coffee,soda,fruit/vegetable juice,flower (seeds),,,,,,,,,
C5700,hamburger meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5701,UHT-milk,ice cream,bottled water,soda,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5702,frankfurter,sausage,chicken,citrus fruit,root vegetables,other vegetables,frozen vegetables,rice,newspapers,,,,,,,,,,,,,,,,,,,,,,,
C5703,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5704,other vegetables,rolls/buns,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5705,onions,other vegetables,soda,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5706,pastry,canned beer,male cosmetics,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5707,citrus fruit,root vegetables,whole milk,yogurt,whipped/sour cream,condensed milk,rolls/buns,flour,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,
C5708,hamburger meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5709,chicken,citrus fruit,root vegetables,other vegetables,butter,sweet spreads,coffee,,,,,,,,,,,,,,,,,,,,,,,,,
C5710,whole milk,white bread,flour,sugar,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5711,chicken,whole milk,semi-finished bread,jam,coffee,soda,napkins,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
C5712,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5713,citrus fruit,root vegetables,margarine,misc. beverages,long life bakery product,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
C5714,citrus fruit,root vegetables,herbs,other vegetables,butter,whipped/sour cream,mayonnaise,rum,waffles,,,,,,,,,,,,,,,,,,,,,,,
C5715,chicken,yogurt,whipped/sour cream,frozen dessert,soda,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,
C5716,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5717,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5718,other vegetables,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5719,pork,root vegetables,whole milk,UHT-milk,frozen meals,softener,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,
C5720,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5721,beef,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,mayonnaise,,,,,,,,,,,,,,,,,,,,,,,
C5722,sausage,meat,tropical fruit,rolls/buns,margarine,bottled water,bottled beer,skin care,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,
